bike_id,company,last_updated,lat,lon,saved_at,tractid
PHJ7,razor,1618706761,38.8982645,-76.9465018,1618706969,11001007803
QWCE,razor,1618706761,38.898259,-76.946519,1618706969,11001007803
FJK1,razor,1618706761,38.8982856,-76.946469,1618706969,11001007803
CN9W,razor,1618706761,38.9041545,-76.9947603,1618706969,11001010602
VGZC,razor,1618706761,38.9015385,-77.0322355,1618706969,11001010100
GDDA,razor,1618706761,38.8736926,-77.0006688,1618706969,11001007201
QNZH,razor,1618706761,38.8748608,-77.0012365,1618706969,11001007201
MQJZ,razor,1618706761,38.8624723,-76.995024,1618706969,11001007401
WQSF,razor,1618706761,38.882389,-76.994845,1618706969,11001007000
M2QK,razor,1618706761,38.8863996,-77.0212495,1618706969,11001010202
NOZK,razor,1618706761,38.8863511,-77.0212388,1618706969,11001010202
TO31,razor,1618706761,38.9204998,-76.9958525,1618706969,11001009102
HNB9,razor,1618706761,38.8790706,-77.0224336,1618706969,11001010202
E5UQ,razor,1618706761,38.8747931,-77.0189733,1618706969,11001011002
VWW7,razor,1618706761,38.8761978,-77.0041626,1618706969,11001007201
B9NN,razor,1618706761,38.8762076,-77.0041691,1618706969,11001007201
F60N,razor,1618706761,38.9073496,-77.0078745,1618706969,11001010601
I6IC,razor,1618706761,38.9110675,-77.0064316,1618706969,11001008701
JYRF,razor,1618706761,38.876524,-76.9320711,1618706969,11001007707
JPCH,razor,1618706761,38.895392,-77.0402303,1618706969,11001010800
S81Q,razor,1618706761,38.89533,-77.0447411,1618706969,11001010800
JS8Y,razor,1618706761,38.9002945,-77.0412611,1618706969,11001010700
FUYA,razor,1618706761,38.8624568,-76.9950048,1618706969,11001007401
ENDU,razor,1618706761,38.8624358,-76.9950693,1618706969,11001007401
NUU8,razor,1618706761,38.8967246,-77.04458,1618706969,11001010800
MIPL,razor,1618706761,38.8957596,-77.0447855,1618706969,11001010800
GPCZ,razor,1618706761,38.8745901,-77.0028388,1618706969,11001007201
BY6V,razor,1618706761,38.8633733,-76.9933331,1618706969,11001007401
